Title,Authors,Year,Publication Link,Author Profile Links
Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contexts,"['Nguyen, T.', 'Nguyen, T.', 'Alhaj Ismail, A.']",6 Aug 2024,https://pureportal.coventry.ac.uk/en/publications/does-boardceo-age-similarity-affect-earnings-management-an-empiri,"['https://pureportal.coventry.ac.uk/en/persons/thang-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/thai-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail']"
Does Digital Orientation Enhance Firm Performance?,"['Brahmana, R. K.']",22 Aug 2024,https://pureportal.coventry.ac.uk/en/publications/does-digital-orientation-enhance-firm-performance,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Does digital transformation matter for international diversification? The role of product market competition,"['Brahmana, R. K.']",24 Dec 2024,https://pureportal.coventry.ac.uk/en/publications/does-digital-transformation-matter-for-international-diversificat,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Does information seeking moderate the relationship between financial loan inclusion and Fintech P2P lending?,"['Brahmana, R. K.']",Mar 2024,https://pureportal.coventry.ac.uk/en/publications/does-information-seeking-moderate-the-relationship-between-financ,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Does product market competition affect corporate waste management? International evidence,"['Hossain, Z.']",Sept 2024,https://pureportal.coventry.ac.uk/en/publications/does-product-market-competition-affect-corporate-waste-management,['https://pureportal.coventry.ac.uk/en/persons/zakir-hossain']
Does R&D investment drive employment growth? Empirical evidence at industry level from Japan,"['Lee, P. Y.']",Jan 2024,https://pureportal.coventry.ac.uk/en/publications/does-rampd-investment-drive-employment-growth-empirical-evidence-,['https://pureportal.coventry.ac.uk/en/persons/pakyee-lee']
Does sharia-compliant debt financing reduce stock price crash risk?,"['Brahmana, R. K.']",21 Feb 2024,https://pureportal.coventry.ac.uk/en/publications/does-sharia-compliant-debt-financing-reduce-stock-price-crash-ris,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Does the CEO effect differ in times of crisis? Evidence from US and China during the global financial crisis,"['Yu, M.']",Sept 2024,https://pureportal.coventry.ac.uk/en/publications/does-the-ceo-effect-differ-in-times-of-crisis-evidence-from-us-an,['https://pureportal.coventry.ac.uk/en/persons/mei-yu']
EDITORIAL: Participatory corporate governance for sustainability and accountability,"['Alsaid, L.']",21 May 2024,https://pureportal.coventry.ac.uk/en/publications/editorial-participatory-corporate-governance-for-sustainability-a,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
Embedding stakeholder engagement in sustainability reporting: A 6-step cycle,"['Tiong, P. N. C.']",10 Apr 2024,https://pureportal.coventry.ac.uk/en/publications/embedding-stakeholder-engagement-in-sustainability-reporting-a-6-,['https://pureportal.coventry.ac.uk/en/persons/paul-tiong']
