Title,Authors,Year,Publication Link,Author Profile Links
The nexus between environmental and financial performance: Evidence from gulf cooperative council banks,"['Hasan, R.']",7 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/the-nexus-between-environmental-and-financial-performance-evidenc,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
The relative effectiveness of R&D tax credits and R&D subsidies: A comparative Meta-Regression Analysis,"['Hisarciklilar, M.']",Jul 2022,https://pureportal.coventry.ac.uk/en/publications/the-relative-effectiveness-of-rampd-tax-credits-and-rampd-subsidi,['https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar']
Tourism And Exports: The Case of Singapore,"['Serenis, D.']",18 May 2022,https://pureportal.coventry.ac.uk/en/publications/tourism-and-exports-the-case-of-singapore,['https://pureportal.coventry.ac.uk/en/persons/dimitris-serenis']
"Unstructured Over Structured, Big Data Analytics and Applications In Accounting and Management","['Petratos, P.']",18 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/unstructured-over-structured-big-data-analytics-and-applications-,['https://pureportal.coventry.ac.uk/en/persons/pythagoras-petratos']
Why do Sukuks (Islamic Bonds) need a different pricing model?,"['Kabir, S.']",6 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/why-do-sukuks-islamic-bonds-need-a-different-pricing-model,['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir']
A global analysis of Private Investments in Public Equity,"['Panetsidou, S.']",Aug 2021,https://pureportal.coventry.ac.uk/en/publications/a-global-analysis-of-private-investments-in-public-equity-2,['https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou']
A Historical Institutionalist Perspective on the Persistence of State Controls during Financial Sector Reforms: The Insightful Case of Myanmar,[],26 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/a-historical-institutionalist-perspective-on-the-persistence-of-s,[]
An appraisal of Turkey's voluntary individual pension system from a perspective of pension equality,"['Hisarciklilar, M.']",12 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/an-appraisal-of-turkeys-voluntary-individual-pension-system-from-,['https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar']
A Novel Method for Measuring the Timing Website Reconstructions,[],2021,https://pureportal.coventry.ac.uk/en/publications/a-novel-method-for-measuring-the-timing-website-reconstructions,[]
Are bank risk disclosures informative? Evidence from debt markets,[],Jan 2021,https://pureportal.coventry.ac.uk/en/publications/are-bank-risk-disclosures-informative-evidence-from-debt-markets,[]
"Audit Committee and Audit Quality: An Empirical Analysis Considering Industry Expertise, Legal Expertise and Gender Diversity",[],Mar 2021,https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-audit-quality-an-empirical-analysis-consideri,[]
"Bank solvency: The role of credit and liquidity risks, regulatory capital and economic stability",[],22 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/bank-solvency-the-role-of-credit-and-liquidity-risks-regulatory-c,[]
Behind the Masquerade of Contradiction: Revisiting GHG Performance and Disclosure-New Evidence,"['Li, M.']",26 May 2021,https://pureportal.coventry.ac.uk/en/publications/behind-the-masquerade-of-contradiction-revisiting-ghg-performance,['https://pureportal.coventry.ac.uk/en/persons/mingchen-li']
Can Citizen Science Increase Trust in Research ? A Case Study of Delineating Polish Metropolitan Areas,"['Lis, P.']",17 May 2021,https://pureportal.coventry.ac.uk/en/publications/can-citizen-science-increase-trust-in-research-a-case-study-of-de,['https://pureportal.coventry.ac.uk/en/persons/piotr-lis']
Can Databases Facilitate Accountability? The Case of Australian Mercury Accounting via the National Pollutant Inventory,[],8 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/can-databases-facilitate-accountability-the-case-of-australian-me,[]
Carbon emissions and firm performance: evidence from financial and non-financial firms from selected emerging economies,"['Hasan, R.']",30 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/carbon-emissions-and-firm-performance-evidence-from-financial-and,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
Corporate adoption of SDG reporting in a non-enabling institutional environment: Insights from Libyan oil industries,[],Dec 2021,https://pureportal.coventry.ac.uk/en/publications/corporate-adoption-of-sdg-reporting-in-a-non-enabling-institution,[]
Corporate board for innovative managerial control: implications of corporate governance deviance perspective,"['Hasan, R.']",8 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/corporate-board-for-innovative-managerial-control-implications-of,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
Corporate environmental accountability in Nigeria: An example of regulatory failure and regulatory capture,"['Noah, A.']",26 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/corporate-environmental-accountability-practices-in-nigeria-an-ex,['https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah']
Corporate Fraud Risk Management: Fraud Risk Management and Modelling,[],Nov 2021,https://pureportal.coventry.ac.uk/en/publications/corporate-fraud-risk-management-fraud-risk-management-and-modelli,[]
Corporate Social Responsibility: How much is enough? A Higher Dimension Perspective of the Relationship between Financial and Social Performance,[],Nov 2021,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-how-much-is-enough-a-higher-dimen,[]
Corruption and its diverse effect on credit risk: global evidence,"['Hasan, R.']",21 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/corruption-and-its-diverse-effect-on-credit-risk-global-evidence,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
CSR Implication and Disclosure in Higher Education: Uncovered Points. Results from a Systematic Literature Review and Agenda for Future Research,[],7 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/csr-implication-and-disclosure-in-higher-education-uncovered-poin,[]
Do Islamic Stock Indices Perform Better Than Their Conventional Counterparts?,"['Kabir, S.']",2021,https://pureportal.coventry.ac.uk/en/publications/do-islamic-stock-indices-perform-better-than-their-conventional-c,['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir']
Drifts in Governance: Evidence from the management of COVID-19 in China,[],2021,https://pureportal.coventry.ac.uk/en/publications/drifts-in-governance-evidence-from-the-management-of-covid-19-in-,[]
"Equity return predictability, its determinants, and profitable trading strategies","['Khan, M.']",Jan 2021,https://pureportal.coventry.ac.uk/en/publications/equity-return-predictability-its-determinants-and-profitable-trad,['https://pureportal.coventry.ac.uk/en/persons/mahbub-khan']
ESG practices and the cost of debt: Evidence from EU countries,[],Sept 2021,https://pureportal.coventry.ac.uk/en/publications/esg-practices-and-the-cost-of-debt-evidence-from-eu-countries,[]
Financial decisions and market performance in Chinese mergers and acquisitions,[],25 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/financial-decisions-and-market-performance-in-chinese-mergers-and,[]
Financial Inclusion,[],2021,https://pureportal.coventry.ac.uk/en/publications/financial-inclusion,[]
Finding our place in the world with the Sustainable Development Goals,"['Bello, J.']",18 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello']
"Fintech frontiers in quantum computing, fractals, and blockchain distributed ledger: Paradigm shifts and open innovation",[],7 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/fintech-frontiers-in-quantum-computing-fractals-and-blockchain-di,[]
"Firms cash management, adjustment cost and its impact on firms’ speed of adjustment-A cross country analysis",[],Jan 2021,https://pureportal.coventry.ac.uk/en/publications/firms-cash-management-adjustment-cost-and-its-impact-on-firms-spe,[]
French Indochina War: Reflections for strategic resilience,"['Huston, S.']",7 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/french-indochina-war-reflections-for-strategic-resilience,['https://pureportal.coventry.ac.uk/en/persons/simon-huston']
Government accounting reforms in Sub-Saharan African countries and the selective ignorance of the epistemic community: A competing logics perspective,"['Noah, A.']",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/government-accounting-reforms-in-sub-saharan-african-countries-an-2,['https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah']
Growth Effects of Remittance: A Case of Turkey Diaspora,[],12 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/growth-effects-of-remittance-a-case-of-turkey-diaspora,[]
Impact of Maoism on the urban form and structure of cities in mainland China,"['Huston, S.']",7 May 2021,https://pureportal.coventry.ac.uk/en/publications/impact-of-maoism-on-the-urban-form-and-structure-of-cities-in-mai,['https://pureportal.coventry.ac.uk/en/persons/simon-huston']
Internal corporate governance mechanisms and financial performance: evidence from the UKs top FTSE 100 listed companies,"['Elmghaamez, I.']",2 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/internal-corporate-governance-mechanisms-and-financial-performanc,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez']
Interpretation of financial statements,"['McCosker, P.']",13 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/interpretation-of-financial-statements,['https://pureportal.coventry.ac.uk/en/persons/philip-mccosker']
Islamic microfinance: A bibliometric review,"['Hasan, R.']",Aug 2021,https://pureportal.coventry.ac.uk/en/publications/islamic-microfinance-a-bibliometric-review,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
Liquidity and Short-Run Predictability: Evidence from International Stock Markets,"['Park, J. S.', 'Newaz, M. K.']",Nov 2021,https://pureportal.coventry.ac.uk/en/publications/liquidity-and-short-run-predictability-evidence-from-internationa,"['https://pureportal.coventry.ac.uk/en/persons/jin-suk-park', 'https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz']"
"Mandatory ESG Reporting and XBRL Taxonomies Combination: ESG Ratings and Income Statement, a Sustainable Value-Added Disclosure",[],9 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/mandatory-esg-reporting-and-xbrl-taxonomies-combination-esg-ratin,[]
Military Expenditure Economic Growth Nexus in Jordan: An Application of ARDL Bound Test Analysis in the Presence of Breaks,[],3 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/military-expenditure-economic-growth-nexus-in-jordan-an-applicati,[]
"Misinformation, disinformation, and fake news: Cyber risks to business","['Petratos, P.']",1 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/misinformation-disinformation-and-fake-news-cyber-risks-to-busine,['https://pureportal.coventry.ac.uk/en/persons/pythagoras-petratos']
Modelling asymmetric price responses of industrial energy demand with a dynamic hierarchical model,[],Jun 2021,https://pureportal.coventry.ac.uk/en/publications/modelling-asymmetric-price-responses-of-industrial-energy-demand-,[]
Monitoring exchange rate instability in 12 selected Islamic economies,[],Sept 2021,https://pureportal.coventry.ac.uk/en/publications/monitoring-exchange-rate-instability-in-12-selected-islamic-econo,[]
"Online Banking in Italy. “Widiba Bank” Case Study, PESTLE and DEA Analysis",[],30 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/online-banking-in-italy-widiba-bank-case-study-pestle-and-dea-ana,[]
Performance measurement in smart city governance: A case study of an Egyptian city council,"['Alsaid, L.']",31 May 2021,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-smart-city-governance-a-case-study-of-,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
Probability of Mergers and Acquisitions Deal Failure,"['Tanna, S.']",21 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/probability-of-mergers-and-acquisitions-deal-failure,['https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna']
Reasons behind the worldwide diversity in identity and issuance of good governance codes,"['Elmghaamez, I.']",Jun 2021,https://pureportal.coventry.ac.uk/en/publications/reasons-behind-the-worldwide-diversity-in-identity-and-issuance-o,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez']
Regulatory capital: Implications on credit creation and profitability,[],2021,https://pureportal.coventry.ac.uk/en/publications/regulatory-capital-implications-on-credit-creation-and-profitabil,[]
Revisiting the Expected Utility Theory and the Consumption CAPM,[],2021,https://pureportal.coventry.ac.uk/en/publications/revisiting-the-expected-utility-theory-and-the-consumption-capm,[]
Role of Public Auditors in Fraud Detection: A Critical Review,"['Turksen, U.']",18 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/role-of-public-auditors-in-fraud-detection-a-critical-review,['https://pureportal.coventry.ac.uk/en/persons/umut-turksen']
Sovereign wealth funds and corporate social responsibility: a comparison of Norway’s Government Pension Fund Global and Abu Dhabi Fund for Development,"['Hasan, R.']",28 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/sovereign-wealth-funds-and-corporate-social-responsibility-a-comp,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
Stakeholder power and organisational trust repair: The case of the BBC,"['Noah, A.']",27 May 2021,https://pureportal.coventry.ac.uk/en/publications/stakeholder-power-and-organisational-trust-repair-the-case-of-the,['https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah']
Statystyczna analiza skutków sub- i dezurbanizacji w Polsce – „efekt przynależności”,"['Lis, P.']",2021,https://pureportal.coventry.ac.uk/en/publications/statystyczna-analiza-skutk%C3%B3w-sub-i-dezurbanizacji-w-polsce-efekt-,['https://pureportal.coventry.ac.uk/en/persons/piotr-lis']
Studium delimitacji miejskich obszarów funkcjonalnych zapomocą metod statystycznych,"['Lis, P.']",2021,https://pureportal.coventry.ac.uk/en/publications/studium-delimitacji-miejskich-obszar%C3%B3w-funkcjonalnych-zapomoc%C4%85-me,['https://pureportal.coventry.ac.uk/en/persons/piotr-lis']
Sukuk and Bond Puzzle: An Analysis with Characteristics Matched Portfolios,"['Kabir, S.']",2021,https://pureportal.coventry.ac.uk/en/publications/sukuk-and-bond-puzzle-an-analysis-with-characteristics-matched-po,['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir']
Testing Dividend Life-Cycle Theory in the Islamic and Conventional Banking Sectors of GCC Countries,"['Tanna, S.']",4 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/testing-dividend-life-cycle-theory-in-the-islamic-and-conventiona,['https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna']
The Impact of Entrepreneurship Framework and Behaviour on Diaspora Remittance: An African Perspective.,"['Ibrahim, M.']",1 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-entrepreneurship-framework-and-behaviour-on-diaspor,['https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim']
The Impact of Religiosity on Earnings Quality: International Evidence from the Banking Sector,"['Ibrahim, M.']",Nov 2021,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-religiosity-on-earnings-quality-international-evide,['https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim']
The influence of institutional pressures on the implementation of a performance measurement system in an Egyptian social enterprise,"['Alsaid, L.']",22 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-institutional-pressures-on-the-implementation-of,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
The predictive strength of MBS yield spreads during asset bubbles,[],Jan 2021,https://pureportal.coventry.ac.uk/en/publications/the-predictive-strength-of-mbs-yield-spreads-during-asset-bubbles,[]
The relationship between corporate governance and firm financial performance: An empirical investigation of an emerging market,[],2021,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-corporate-governance-and-firm-financial-,[]
The role of culture on the adoption of International Standards on Auditing in the developing countries: An institutional perspective,[],15 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/the-role-of-culture-on-the-adoption-of-international-standards-on,[]
Towards Understanding How the HR Function Relates to the Accounting Function,"['Horsman, S.']",13 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/towards-understanding-how-the-hr-function-relates-to-the-accounti,['https://pureportal.coventry.ac.uk/en/persons/simon-horsman']
Trade Wins or Trade Wars: The Perceptions and Knowledge in the Free Trade Debate,"['Lis, P.']",10 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/trade-wins-or-trade-wars-the-perceptions-and-knowledge-in-the-fre,['https://pureportal.coventry.ac.uk/en/persons/piotr-lis']
Türkiye İnşaat Sanayii Çalışma Standartlarının Sektörel Gelişim Üzerinden Değerlendirilmesi,"['Hisarciklilar, M.']",14 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/t%C3%BCrkiye-in%C5%9Faat-sanayii-%C3%A7al%C4%B1%C5%9Fma-standartlar%C4%B1n%C4%B1n-sekt%C3%B6rel-geli%C5%9Fim-%C3%BC,['https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar']
Understanding Public Sentiment in Relation to the African Continental Free Trade Agreement,"['Ajala, O.']",1 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/understanding-public-sentiment-in-relation-to-the-african-contine,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
Znaczenie metod statystycznych dla potrzeb delimitacji miejskich obszarów funkcjonalnych – spojrzenie ekonomisty,"['Lis, P.']",2021,https://pureportal.coventry.ac.uk/en/publications/znaczenie-metod-statystycznych-dla-potrzeb-delimitacji-miejskich-,['https://pureportal.coventry.ac.uk/en/persons/piotr-lis']
Academic letter on French Indochina War: Metaphors for strategic insight,"['Huston, S.']",28 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/academic-letter-on-french-indochina-war-metaphors-for-strategic-i,['https://pureportal.coventry.ac.uk/en/persons/simon-huston']
Accounting and smart cities: New evidence for governmentality and politics,"['Alsaid, L.']",9 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/accounting-and-smart-cities-new-evidence-for-governmentality-and-,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
An economic analysis of ransomware and its welfare consequences,[],4 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/an-economic-analysis-of-ransomware-and-its-welfare-consequences,[]
Automatic robust estimation for exponential smoothing: Perspectives from statistics and machine learning,[],1 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/automatic-robust-estimation-for-exponential-smoothing-perspective,[]
Bathing facilities and health phronesis: tackling English obesity,"['Huston, S.']",4 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/bathing-facilities-and-health-phronesis-tackling-english-obesity,['https://pureportal.coventry.ac.uk/en/persons/simon-huston']
Bathing Facilities and Health Phronesis: A Preliminary English Investigation,"['Huston, S.']",9 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/bathing-facilities-and-health-phronesis-a-preliminary-english-inv-2,['https://pureportal.coventry.ac.uk/en/persons/simon-huston']
"Big Data Analyses and New Technology Applications in Sport Management, an Overview",[],15 May 2020,https://pureportal.coventry.ac.uk/en/publications/big-data-analyses-and-new-technology-applications-in-sport-manage,[]
Big Data-driven Budgeting and Business Planning,[],30 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/big-data-driven-budgeting-and-business-planning,[]
Calculating the relative importance of condition attributes based on the characteristics of decision rules and attribute reducts: application to crowdfunding,"['Nguyen, T.']",16 Oct 2020,https://pureportal.coventry.ac.uk/en/publications/calculating-the-relative-importance-of-condition-attributes-based,['https://pureportal.coventry.ac.uk/en/persons/thang-nguyen']
Case Studies of Shari`ah Governance Practices in Bangladesh,[],31 May 2020,https://pureportal.coventry.ac.uk/en/publications/case-studies-of-shariah-governance-practices-in-bangladesh,[]
Case Studies of Shari’ah Governance in Practice: United Kingdom and Europe,"['Alamad, S.']",Apr 2020,https://pureportal.coventry.ac.uk/en/publications/case-studies-of-shariah-governance-in-practice-united-kingdom-and,['https://pureportal.coventry.ac.uk/en/persons/samir-alamad']
"Cashflow News, Discount Rate News and Oil Prices",[],2020,https://pureportal.coventry.ac.uk/en/publications/cashflow-news-discount-rate-news-and-oil-prices,[]
"Coronavirus, Fraud Risk, and the Use of the Term “Scam”.",[],10 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/coronavirus-fraud-risk-and-the-use-of-the-term-scam,[]
Corporate Political Strategies in Weak Institutional Environments: A Break from Conventions,"['Aghanya, D.']",Feb 2020,https://pureportal.coventry.ac.uk/en/publications/corporate-political-strategies-in-weak-institutional-environments,['https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya']
Determinants of Capital Flight: New Panel Evidence from Sub-Saharan Africa (SSA),"['Egbulonu, A.']",30 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/determinants-of-capital-flight-new-panel-evidence-from-sub-sahara,['https://pureportal.coventry.ac.uk/en/persons/alloysius-egbulonu']
Did Corporate Governance Compliance Have an Impact on Auditor Selection and Quality? Evidence From FTSE 350,"['Elmghaamez, I.']",1 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/did-corporate-governance-compliance-have-an-impact-on-auditor-sel,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez']
"Digital Systems and New Challenges of Financial Management – FinTech, XBRL, Blockchain and Cryptocurrencies",[],Feb 2020,https://pureportal.coventry.ac.uk/en/publications/digital-systems-and-new-challenges-of-financial-management-fintec,[]
"Disaster Management, Digitalization and Financial Resources: Key factors to keep the organization ongoing",[],26 Aug 2020,https://pureportal.coventry.ac.uk/en/publications/disaster-management-digitalization-and-financial-resources-key-fa,[]
Does market openness mitigate the impact of culture? An examination of international momentum profits and post-earnings-announcement drift (With Phil Holmes) under minor revision,[],2020,https://pureportal.coventry.ac.uk/en/publications/does-market-openness-mitigate-the-impact-of-culture-an-examinatio,[]
Do lockdown and testing help in curbing COVID-19 transmission?,"['Ajala, O.']",4 May 2020,https://pureportal.coventry.ac.uk/en/publications/do-lockdown-and-testing-help-in-curbing-covid-19-transmission,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
"Earnings management by share-financed acquirers prior to deal announcements: The roles of financial expertise, tenure and reputation.","['Nguyen, T.']",Feb 2020,https://pureportal.coventry.ac.uk/en/publications/earnings-management-by-share-financed-acquirers-prior-to-deal-ann,['https://pureportal.coventry.ac.uk/en/persons/thai-nguyen']
Effects of director networks on acquiring firms' earnings management prior to M&A,"['Nguyen, T.', 'Nguyen, T.']",28 Jan 2020,https://pureportal.coventry.ac.uk/en/publications/effects-of-director-networks-on-acquiring-firms-earnings-manageme,"['https://pureportal.coventry.ac.uk/en/persons/thai-nguyen', 'https://pureportal.coventry.ac.uk/en/persons/thang-nguyen']"
Eurasian Business Perspectives: Proceedings of the 28th Eurasia Business and Economics Society Conference,"['Tony-Okeke, U.']",28 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/eurasian-business-perspectives-proceedings-of-the-28th-eurasia-bu,['https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke']
Eurasian Economic Perspectives: Proceedings of the 28th Eurasia Business and Economics Society Conference,"['Tony-Okeke, U.']",28 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/eurasian-economic-perspectives-proceedings-of-the-28th-eurasia-bu,['https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke']
Exploring the Prospects for Islamic Home Finance in the UK: Evidence from the Industry Practitioners Perspective,"['Kabir, S.', 'Aziz, A.']",2020,https://pureportal.coventry.ac.uk/en/publications/exploring-the-prospects-for-islamic-home-finance-in-the-uk-eviden,"['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir', 'https://pureportal.coventry.ac.uk/en/persons/aqsa-aziz']"
Fair value accounting and value relevance of equity book value and net income for European financial firms during the crisis,"['Alhaj Ismail, A.']",Jun 2020,https://pureportal.coventry.ac.uk/en/publications/fair-value-accounting-and-value-relevance-of-equity-book-value-an,['https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail']
Financial Contagion in a Core–Periphery Interbank Network,"['Tanna, S.']",3 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/financial-contagion-in-a-coreperiphery-interbank-network,['https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna']
Financial Market Consequences of Early Adoption of International Standards on Auditing: International Evidence,"['Elmghaamez, I.']",21 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/financial-market-consequences-of-early-adoption-of-international-,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez']
Forecasting Value-at-Risk of Cryptocurrencies with RiskMetrics Type Models,[],Dec 2020,https://pureportal.coventry.ac.uk/en/publications/forecasting-value-at-risk-of-cryptocurrencies-with-riskmetrics-ty,[]
Fraudulent Financial Reporting Risk Assessment: External Auditors' Perceptions Versus the Traditional Fraud Triangle Theory,[],23 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/fraudulent-financial-reporting-risk-assessment-external-auditors-,[]
How Could External Auditors Incorporate Management Motivation Risk into the Fraud Risk Assessment Process?,[],1 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/how-could-external-auditors-incorporate-management-motivation-ris,[]
How green is the green banking investment in Bangladesh? A Paradox of Green Banking Practices,[],2020,https://pureportal.coventry.ac.uk/en/publications/how-green-is-the-green-banking-investment-in-bangladesh-a-paradox,[]
"Integrated reporting in higher education: Insights from Scotland, Northern Ireland and Wales",[],15 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/integrated-reporting-in-higher-education-insights-from-scotland-n,[]
Investor sentiment and investments in equity Crowdfunding,"['Nguyen, T.']",2020,https://pureportal.coventry.ac.uk/en/publications/investor-sentiment-and-investments-in-equity-crowdfunding,['https://pureportal.coventry.ac.uk/en/persons/thang-nguyen']
Is corporate hedging always beneficial? A theoretical and empirical analysis,"['Ahmed, H.', 'Guney, Y.']",2020,https://pureportal.coventry.ac.uk/en/publications/is-corporate-hedging-always-beneficial-a-theoretical-and-empirica,"['https://pureportal.coventry.ac.uk/en/persons/hany-ahmed', 'https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney']"
Is Herding Spurious or Intentional? Evidence from Analyst Recommendation Revisions and Sentiment,[],Oct 2020,https://pureportal.coventry.ac.uk/en/publications/is-herding-spurious-or-intentional-evidence-from-analyst-recommen,[]
"Market in Financial Instruments Directive (MiFID), stock price informativeness and liquidity","['Aghanya, D.']",Apr 2020,https://pureportal.coventry.ac.uk/en/publications/market-in-financial-instruments-directive-mifid-stock-price-infor,['https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya']
Market Pricing of Bank M&As and Efficiency in Europe,"['Tanna, S.']",21 Aug 2020,https://pureportal.coventry.ac.uk/en/publications/market-pricing-of-bank-mampas-and-efficiency-in-europe,['https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna']
Measuring and Monitoring Sustainability in Listed European Football Clubs: A Value-Added Reporting Perspective,"['Range, D.']",25 Nov 2020,https://pureportal.coventry.ac.uk/en/publications/measuring-and-monitoring-sustainability-in-listed-european-footba,['https://pureportal.coventry.ac.uk/en/persons/daniel-range']
Providing an enabling environment to promote the Sustainable Development Goals: Coventry University’s experience,"['Bello, J.']",7 Sept 2020,https://pureportal.coventry.ac.uk/en/publications/providing-an-enabling-environment-to-promote-the-sustainable-deve,['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello']
Reflections on the Ontological Mythologies of Creativity,[],14 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/reflections-on-the-ontological-mythologies-of-creativity,[]
Risk Governance and Cybercrime: The Hierarchical Regression Approach,"['Noah, A.']",28 May 2020,https://pureportal.coventry.ac.uk/en/publications/risk-governance-and-cybercrime-the-hierarchical-regression-approa,['https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah']
"Shareholders' control rights, family ownership and the firm's leverage decisions",[],Nov 2020,https://pureportal.coventry.ac.uk/en/publications/shareholders-control-rights-family-ownership-and-the-firms-levera,[]
Shari’ah Compliance as a Matter for Financial Performance,[],22 Jan 2020,https://pureportal.coventry.ac.uk/en/publications/shariah-compliance-as-a-matter-for-financial-performance,[]
Sustainability integration in supply chain management through systematic literature review,[],1 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/sustainability-integration-in-supply-chain-management-through-sys,[]
Systemic financial risk indicators and securitised assets: an agent-based framework,"['Lauretta, E.']",1 Jan 2020,https://pureportal.coventry.ac.uk/en/publications/systemic-financial-risk-indicators-and-securitised-assets-an-agen,['https://pureportal.coventry.ac.uk/en/persons/eliana-lauretta']
Tackling Big Data and Black Swans through Fractal Approach and Quantum Technology,[],15 May 2020,https://pureportal.coventry.ac.uk/en/publications/tackling-big-data-and-black-swans-through-fractal-approach-and-qu,[]
